county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
48469,Victoria,TX,28.35506103456611,26.66459088711627,44.98063210055596,6.366385665941503,40.399477278220935,1.5760037466763357
48457,Tyler,TX,11.620342122466768,32.795473959468296,55.58473741555895,5.040052298975811,35.4920265853127,1.3846942689039006
48489,Willacy,TX,22.46570449678801,17.414786581013562,60.11950606709494,7.403608850820842,21.87786438258387,1.56355403283369
48145,Falls,TX,39.47599221560417,40.260960075485045,20.262652591849974,6.95089933360854,29.959509347172258,1.5572996402665567
48377,Presidio,TX,21.70349873619795,27.398797392576824,50.897695889317546,7.814173207396569,14.109179193827325,1.406967407210323
48303,Lubbock,TX,27.30850933474021,28.4738780442145,44.21760751544444,7.422068108715261,13.872962439796456,1.4911169352779998
48213,Henderson,TX,16.700775572048588,32.34406122396569,50.95521713449241,5.788381827987365,35.44888415213539,1.4557012249929377
48201,Harris,TX,23.088634766498437,36.4171724270108,40.49451862262825,5.733603782022615,47.380994058646905,1.4635047594710278
48471,Walker,TX,13.562930093493426,27.211551421384844,59.2252883109487,5.334450192207299,34.59679179915524,1.4307833040672013
48167,Galveston,TX,30.156806220095696,41.513133971291865,28.330490430622014,6.386483253588517,53.956734449760766,1.4360167464114832
48115,Dawson,TX,19.478794417622677,19.846537404722355,60.67434372913982,7.732267879597001,12.8137774190043,1.5010154151854322
48187,Guadalupe,TX,30.40071815470757,31.77409469904449,37.825424502464855,6.743892641957276,28.847720771712005,1.564765686811515
48371,Pecos,TX,27.169292802016066,40.84684832257049,31.98375177193259,7.786104898409198,16.100919829894472,1.4483433611592378
48439,Tarrant,TX,32.70929701230229,40.086372583479786,27.20354657293497,6.873588752196836,33.91239718804921,1.5267708260105448
48239,Jackson,TX,35.4903626913247,36.12740430175459,28.382626425063894,6.426183844011142,42.029658558998364,1.5785512448668981
48347,Nacogdoches,TX,13.998010869865093,31.53845835517422,54.463152812646555,5.397180456313626,34.97859960824344,1.3639661213341794
48437,Swisher,TX,29.407021695040253,37.77608782496466,32.81697191321984,7.183805543605187,17.307488783725645,1.4786720238461066
48431,Sterling,TX,27.918589428639354,41.65218797052064,30.429103732466917,7.705664474205562,20.093375069339885,1.504226166891196
48497,Wise,TX,28.902249482027166,37.87498273423883,33.22268063274904,6.801182293550828,31.021296083138754,1.5331974545334957
48089,Colorado,TX,19.951938110749186,30.636475570032577,49.411348534201956,6.2020488599348536,38.06930293159609,1.5424267100977198
48163,Frio,TX,28.517271865628736,30.78062586429248,40.702506253981575,7.09497195419444,22.05217762861449,1.5440101617489395
48173,Glasscock,TX,23.81594920031865,28.71849837612599,47.465402291807095,7.701306758992585,14.612807157301305,1.4985411177155463
